OrderID,CustomerID,ProductID,OrderDate,Quantity,TotalAmount,EmployeeID
1,1519,46,2026-01-25,1,31.77,13
2,428,10,2025-11-22,2,104.3,30
3,1790,18,2025-10-28,2,75.18,33
4,411,9,2025-11-09,1,22.6,3
5,1843,6,2026-04-14,1,22.65,12
6,153,47,2025-09-20,1,50.27,31
7,1336,35,2026-06-07,3,47.82,39
8,510,10,2026-01-25,2,104.3,40
9,1608,36,2025-09-15,1,33.29,11
10,892,16,2025-09-09,2,114.5,39
11,909,48,2026-07-26,2,28.54,17
12,172,33,2026-05-22,3,71.46,28
13,1367,32,2025-11-28,2,62.1,7
14,1989,48,2026-03-07,2,28.54,9
15,1676,14,2026-07-07,3,156.87,31
16,1050,26,2026-06-11,3,163.92,19
17,490,19,2026-06-16,3,153.99,28
18,1039,2,2025-11-17,3,161.22,35
19,1831,27,2026-01-31,1,22.5,4
20,1438,6,2026-02-03,3,67.95,20
21,760,49,2026-08-02,1,44.18,9
22,1276,6,2025-11-23,2,45.3,29
23,170,21,2026-04-30,1,12.84,24
24,237,13,2025-11-07,3,52.38,26
25,756,4,2026-04-27,1,47.82,22
26,550,38,2026-03-18,1,19.63,17
27,974,6,2026-01-31,1,22.65,19
28,1405,45,2025-11-26,1,45.07,6
29,612,4,2025-09-22,1,47.82,2
30,1630,14,2026-08-02,3,156.87,23
31,384,41,2026-06-01,2,114.62,34
32,1225,40,2025-11-16,3,100.89,26
33,694,17,2026-07-04,1,23.88,28
34,1894,10,2025-11-14,1,52.15,16
35,51,36,2026-02-02,1,33.29,26
36,413,14,2026-09-01,2,104.58,17
37,1147,28,2026-02-25,3,159.39,22
38,839,7,2025-12-15,1,33.34,7
39,1695,47,2026-08-17,3,150.81,2
40,751,41,2026-03-02,1,57.31,7
41,1965,4,2026-01-19,3,143.46,7
42,821,25,2026-05-04,2,69.06,33
43,7,12,2026-07-10,3,61.98,27
44,1624,32,2026-06-07,3,93.15,38
45,1027,39,2026-01-27,1,52.22,2
46,1808,21,2025-11-03,1,12.84,38
47,716,29,2025-09-17,2,80.6,21
48,525,37,2025-12-08,2,36.04,27
49,469,3,2026-01-26,2,100.2,19
50,205,35,2025-12-09,2,31.88,15
51,923,25,2026-04-11,3,103.59,4
52,1816,21,2026-04-04,1,12.84,2
53,1843,24,2026-08-11,2,50.54,18
54,619,7,2025-10-10,2,66.68,12
55,845,18,2026-07-20,2,75.18,24
56,245,50,2026-07-10,1,18.78,15
57,1939,3,2026-06-16,1,50.1,11
58,36,17,2026-06-17,3,71.64,5
59,1888,50,2026-07-09,3,56.34,30
60,1347,37,2026-04-03,1,18.02,20
61,1761,49,2026-07-19,3,132.54,6
62,1455,11,2026-02-02,1,13.99,17
63,204,8,2025-12-21,3,53.79,31
64,985,38,2026-04-07,1,19.63,2
65,1179,40,2026-04-13,2,67.26,7
66,1008,32,2026-08-01,3,93.15,26
67,1646,1,2025-09-26,1,51.77,8
68,1942,29,2026-07-13,1,40.3,23
69,1344,2,2026-06-24,1,53.74,23
70,1010,12,2025-12-06,3,61.98,29
71,1862,13,2026-04-01,1,17.46,25
72,1711,48,2026-09-04,2,28.54,37
73,49,9,2026-07-05,2,45.2,24
74,1201,29,2026-08-20,3,120.9,30
75,175,19,2026-03-23,2,102.66,9
76,1901,34,2025-09-12,2,73.78,2
77,563,47,2025-10-12,2,100.54,12
78,954,44,2025-10-27,2,46.22,39
79,1534,37,2026-06-18,1,18.02,22
80,236,7,2026-04-24,2,66.68,7
81,82,5,2025-11-04,1,54.23,1
82,441,19,2026-01-22,2,102.66,4
83,187,4,2025-11-24,3,143.46,25
84,1117,14,2025-09-27,2,104.58,20
85,1737,31,2026-04-22,2,35.32,15
86,735,23,2026-03-10,2,61.04,24
87,1933,4,2026-05-12,2,95.64,31
88,1078,14,2026-06-04,2,104.58,35
89,412,15,2025-10-06,3,105.06,25
90,584,13,2025-09-09,3,52.38,5
91,681,40,2025-12-28,2,67.26,10
92,281,6,2026-07-07,1,22.65,8
93,1983,4,2026-02-20,1,47.82,31
94,267,20,2025-11-03,2,90.34,3
95,1531,5,2025-11-17,3,162.69,22
96,81,47,2026-03-20,3,150.81,6
97,1285,2,2026-02-24,3,161.22,15
98,336,21,2025-11-28,2,25.68,3
99,264,36,2025-12-17,3,99.87,26
100,1260,5,2025-12-22,1,54.23,32
101,321,9,2026-03-05,2,45.2,28
102,700,2,2026-02-16,2,107.48,30
103,555,35,2026-07-02,3,47.82,10
104,551,45,2026-07-01,1,45.07,16
105,1710,44,2026-05-18,2,46.22,20
106,1761,12,2026-02-10,2,41.32,30
107,340,10,2026-04-24,2,104.3,33
108,1914,24,2026-03-14,3,75.81,6
109,131,14,2026-01-30,3,156.87,3
110,1175,18,2026-04-25,2,75.18,15
111,1129,6,2026-07-15,2,45.3,10
112,945,2,2026-04-27,1,53.74,10
113,14,21,2026-06-26,2,25.68,2
114,508,32,2025-12-07,2,62.1,40
115,1255,2,2026-03-25,1,53.74,13
116,461,43,2026-02-23,2,95.22,4
117,91,29,2026-06-27,3,120.9,30
118,871,47,2026-09-03,3,150.81,10
119,64,9,2025-09-11,2,45.2,35
120,556,33,2026-02-24,3,71.46,39
121,20,14,2025-11-12,3,156.87,8
122,1736,14,2026-02-20,1,52.29,26
123,699,31,2026-05-22,2,35.32,10
124,1624,19,2026-05-15,2,102.66,21
125,1314,50,2026-07-23,3,56.34,20
126,360,8,2025-09-13,3,53.79,11
127,1284,10,2026-08-26,1,52.15,31
128,40,45,2026-05-08,2,90.14,16
129,1587,6,2026-06-28,3,67.95,6
130,1501,41,2026-06-05,1,57.31,3
131,1235,11,2026-07-03,2,27.98,31
132,70,5,2025-10-15,3,162.69,34
133,1992,33,2026-02-24,3,71.46,7
134,1370,43,2025-12-04,3,142.83,33
135,793,17,2026-08-30,3,71.64,17
136,289,47,2026-08-20,3,150.81,25
137,369,46,2026-07-20,2,63.54,3
138,651,39,2026-05-01,2,104.44,15
139,396,43,2025-09-09,1,47.61,38
140,122,42,2025-11-24,2,52.82,13
141,1344,42,2026-08-30,3,79.23,29
142,1342,28,2026-04-10,3,159.39,33
143,360,10,2025-11-25,2,104.3,30
144,453,2,2025-09-17,2,107.48,12
145,1316,15,2026-04-18,1,35.02,1
146,1334,44,2026-03-06,3,69.33,22
147,1779,5,2026-01-26,2,108.46,16
148,935,9,2026-05-24,3,67.8,29
149,1115,7,2025-12-09,3,100.02,8
150,613,37,2025-10-10,1,18.02,37
151,1616,34,2026-08-09,3,110.67,20
152,869,31,2025-11-21,1,17.66,18
153,1504,3,2026-03-21,1,50.1,2
154,741,43,2025-11-01,3,142.83,32
155,1518,39,2026-07-05,3,156.66,36
156,1476,46,2025-12-07,1,31.77,2
157,546,23,2026-07-23,2,61.04,21
158,1402,6,2026-03-28,3,67.95,1
159,44,43,2026-03-26,1,47.61,36
160,823,18,2026-05-12,2,75.18,23
161,1175,48,2025-12-21,1,14.27,3
162,744,12,2025-12-26,3,61.98,11
163,1614,40,2026-03-15,1,33.63,16
164,1199,16,2026-01-26,3,171.75,15
165,986,29,2026-03-08,2,80.6,28
166,195,17,2026-03-18,3,71.64,15
167,917,29,2025-10-21,2,80.6,21
168,516,30,2025-11-07,3,132.54,5
169,1898,8,2026-06-15,3,53.79,40
170,75,47,2026-07-25,3,150.81,21
171,555,13,2025-10-06,1,17.46,31
172,1614,46,2026-02-26,3,95.31,9
173,783,2,2025-12-29,2,107.48,2
174,790,29,2025-12-08,2,80.6,19
175,41,10,2026-09-07,1,52.15,31
176,1729,33,2026-01-03,3,71.46,9
177,455,3,2026-01-18,1,50.1,28
178,1336,49,2026-08-19,1,44.18,22
179,155,24,2025-10-02,3,75.81,11
180,1374,22,2026-06-11,2,74.64,7
181,1899,38,2025-11-15,3,58.89,38
182,595,31,2026-09-07,1,17.66,6
183,653,34,2026-04-01,1,36.89,36
184,1061,26,2025-10-01,1,54.64,16
185,1300,41,2025-09-14,2,114.62,9
186,506,30,2026-08-25,3,132.54,22
187,642,50,2025-10-03,3,56.34,40
188,1720,8,2026-05-17,3,53.79,27
189,1926,33,2026-02-10,3,71.46,9
190,1805,48,2025-11-13,1,14.27,3
191,1383,34,2026-01-25,3,110.67,20
192,1917,18,2025-09-18,3,112.77,12
193,746,8,2026-06-26,3,53.79,40
194,1954,18,2025-10-29,1,37.59,4
195,1804,42,2025-12-21,2,52.82,31
196,1289,14,2026-01-11,3,156.87,23
197,335,20,2026-06-25,2,90.34,32
198,889,17,2026-03-17,1,23.88,28
199,1018,17,2025-12-05,2,47.76,20
200,602,29,2026-01-26,2,80.6,8
201,811,29,2025-11-13,1,40.3,39
202,1825,25,2025-10-22,2,69.06,17
203,1006,11,2026-08-31,2,27.98,32
204,1745,42,2026-01-26,3,79.23,14
205,964,34,2026-09-04,2,73.78,34
206,864,20,2026-04-17,3,135.51,3
207,713,46,2026-04-03,3,95.31,18
208,1136,26,2025-12-30,3,163.92,17
209,1460,1,2026-05-27,3,155.31,35
210,1630,45,2026-07-12,2,90.14,39
211,1090,28,2026-06-07,2,106.26,37
212,376,33,2026-09-07,1,23.82,20
213,1850,39,2026-04-04,1,52.22,35
214,1029,3,2026-03-25,3,150.3,12
215,236,41,2026-01-30,3,171.93,8
216,915,44,2026-01-07,1,23.11,22
217,1926,24,2026-06-29,1,25.27,31
218,710,27,2026-01-29,3,67.5,14
219,1844,42,2025-10-14,2,52.82,37
220,1869,5,2025-09-30,3,162.69,24
221,661,8,2026-01-10,2,35.86,4
222,280,8,2026-01-04,3,53.79,14
223,1656,37,2026-02-20,2,36.04,23
224,1777,2,2026-04-22,3,161.22,35
225,1958,41,2026-04-01,1,57.31,13
226,464,43,2026-01-14,3,142.83,34
227,73,7,2025-12-30,1,33.34,32
228,578,10,2026-03-31,2,104.3,8
229,1089,10,2026-08-19,1,52.15,9
230,637,17,2026-04-26,2,47.76,6
231,928,1,2026-05-07,3,155.31,39
232,1408,29,2026-04-24,2,80.6,11
233,1843,9,2026-03-07,3,67.8,22
234,46,50,2026-04-05,2,37.56,36
235,1930,15,2026-07-10,3,105.06,34
236,474,5,2026-07-19,1,54.23,10
237,85,40,2025-12-28,3,100.89,21
238,1455,12,2025-10-23,1,20.66,3
239,1599,6,2026-07-10,2,45.3,40
240,1366,46,2026-03-22,1,31.77,40
241,1336,38,2026-07-06,1,19.63,6
242,428,42,2025-11-10,3,79.23,15
243,1143,16,2026-02-01,2,114.5,19
244,313,22,2026-02-04,2,74.64,6
245,485,47,2026-06-19,3,150.81,2
246,639,2,2026-04-17,3,161.22,13
247,1553,35,2026-01-30,3,47.82,3
248,1850,17,2026-09-01,3,71.64,30
249,1577,42,2026-08-07,1,26.41,15
250,1741,18,2026-01-25,1,37.59,29
251,1779,50,2026-04-15,2,37.56,24
252,92,27,2025-10-01,1,22.5,23
253,1948,47,2026-02-06,3,150.81,24
254,1186,22,2026-02-13,2,74.64,21
255,1240,20,2025-10-29,2,90.34,18
256,616,44,2026-01-23,2,46.22,7
257,1365,24,2026-04-07,1,25.27,18
258,1882,34,2025-10-06,3,110.67,15
259,1103,9,2026-06-20,3,67.8,12
260,1272,1,2025-11-04,3,155.31,13
261,1875,43,2025-12-09,2,95.22,21
262,426,5,2026-02-04,2,108.46,4
